2025-04-30 16:46:50,491 - INFO - D:\my_projects\quantify\global_data\day_data
2025-04-30 16:47:42,117 - INFO - NOW: 000050 -> sz000050, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:44,376 - INFO - NOW: 000055 -> sz000055, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:46,706 - INFO - NOW: 000056 -> sz000056, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:48,763 - INFO - NOW: 000058 -> sz000058, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:51,047 - INFO - NOW: 000059 -> sz000059, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:53,399 - INFO - NOW: 000060 -> sz000060, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:55,586 - INFO - NOW: 000061 -> sz000061, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:57,814 - INFO - NOW: 000062 -> sz000062, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:59,901 - INFO - NOW: 000063 -> sz000063, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:02,017 - INFO - NOW: 000065 -> sz000065, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:04,345 - INFO - NOW: 000066 -> sz000066, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:06,473 - INFO - NOW: 000068 -> sz000068, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:08,773 - INFO - NOW: 000069 -> sz000069, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:10,839 - INFO - NOW: 000070 -> sz000070, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:12,890 - INFO - NOW: 000078 -> sz000078, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:15,147 - INFO - NOW: 000088 -> sz000088, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:17,466 - INFO - NOW: 000089 -> sz000089, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:19,280 - INFO - NOW: 000090 -> sz000090, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:20,982 - INFO - NOW: 000096 -> sz000096, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:22,711 - INFO - NOW: 000099 -> sz000099, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:24,175 - INFO - NOW: 000100 -> sz000100, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:25,386 - INFO - NOW: 000151 -> sz000151, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:27,535 - INFO - NOW: 000153 -> sz000153, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:30,145 - INFO - NOW: 000155 -> sz000155, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:31,712 - INFO - NOW: 000156 -> sz000156, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:33,229 - INFO - NOW: 000157 -> sz000157, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:34,565 - INFO - NOW: 000158 -> sz000158, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:35,907 - INFO - NOW: 000159 -> sz000159, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:36,716 - INFO - NOW: 000166 -> sz000166, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:37,957 - INFO - NOW: 000301 -> sz000301, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:38,726 - INFO - NOW: 000333 -> sz000333, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:39,943 - INFO - NOW: 000338 -> sz000338, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:41,519 - INFO - NOW: 000400 -> sz000400, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:43,224 - INFO - NOW: 000401 -> sz000401, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:44,562 - INFO - NOW: 000402 -> sz000402, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:46,979 - INFO - NOW: 000403 -> sz000403, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:48,647 - INFO - NOW: 000404 -> sz000404, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:50,831 - INFO - NOW: 000407 -> sz000407, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:52,270 - INFO - NOW: 000408 -> sz000408, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:53,540 - INFO - NOW: 000409 -> sz000409, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:55,142 - INFO - NOW: 000410 -> sz000410, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:56,411 - INFO - NOW: 000411 -> sz000411, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:58,001 - INFO - NOW: 000415 -> sz000415, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:48:59,329 - INFO - NOW: 000417 -> sz000417, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:00,902 - INFO - NOW: 000419 -> sz000419, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:02,713 - INFO - NOW: 000420 -> sz000420, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:04,452 - INFO - NOW: 000421 -> sz000421, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:06,122 - INFO - NOW: 000422 -> sz000422, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:08,034 - INFO - NOW: 000423 -> sz000423, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:09,737 - INFO - NOW: 000425 -> sz000425, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:11,582 - INFO - NOW: 000426 -> sz000426, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:13,643 - INFO - NOW: 000428 -> sz000428, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:15,145 - INFO - NOW: 000429 -> sz000429, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:16,822 - INFO - NOW: 000430 -> sz000430, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:18,336 - INFO - NOW: 000488 -> sz000488, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:19,714 - INFO - NOW: 000498 -> sz000498, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:21,483 - INFO - NOW: 000501 -> sz000501, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:24,385 - INFO - NOW: 000503 -> sz000503, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:25,958 - INFO - NOW: 000504 -> sz000504, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：2条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:27,378 - INFO - NOW: 000505 -> sz000505, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:28,896 - INFO - NOW: 000506 -> sz000506, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:30,391 - INFO - NOW: 000507 -> sz000507, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:32,014 - INFO - NOW: 000509 -> sz000509, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:33,484 - INFO - NOW: 000510 -> sz000510, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:34,968 - INFO - NOW: 000513 -> sz000513, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:36,312 - INFO - NOW: 000514 -> sz000514, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:37,974 - INFO - NOW: 000516 -> sz000516, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:39,283 - INFO - NOW: 000517 -> sz000517, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:40,903 - INFO - NOW: 000518 -> sz000518, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：2条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:42,321 - INFO - NOW: 000519 -> sz000519, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:43,636 - INFO - NOW: 000520 -> sz000520, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:45,170 - INFO - NOW: 000521 -> sz000521, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:46,509 - INFO - NOW: 000523 -> sz000523, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:48,017 - INFO - NOW: 000524 -> sz000524, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:49,671 - INFO - NOW: 000525 -> sz000525, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:51,359 - INFO - NOW: 000526 -> sz000526, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:53,027 - INFO - NOW: 000528 -> sz000528, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:54,419 - INFO - NOW: 000529 -> sz000529, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:56,108 - INFO - NOW: 000530 -> sz000530, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:49:59,375 - INFO - NOW: 000531 -> sz000531, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:00,900 - INFO - NOW: 000532 -> sz000532, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:02,377 - INFO - NOW: 000533 -> sz000533, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:04,218 - INFO - NOW: 000534 -> sz000534, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:05,684 - INFO - NOW: 000536 -> sz000536, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:07,403 - INFO - NOW: 000537 -> sz000537, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:09,143 - INFO - NOW: 000538 -> sz000538, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:10,901 - INFO - NOW: 000539 -> sz000539, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:12,752 - INFO - NOW: 000541 -> sz000541, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:50:14,494 - INFO - NOW: 000543 -> sz000543, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
